keys,it,en,fr,es
EVENT_FAILED_HINT,Sei stato colpito: nessuna abilità,You were hit: no ability,Vous avez été touché : aucune capacité,Te han golpeado: sin habilidad
CONS_MAGNET,Magnete,Magnet,Aimant,Imán
CONS_MAGNET_DESC,Per 4 s attira tutto ciò che è a terra nell'arena.,For 4 s pulls everything on the ground in the arena.,"Pendant 4 s, attire tout ce qui est au sol dans l'arène.",Durante 4 s atrae todo lo que hay en el suelo de la arena.
CONS_HEART,Cuore,Heart,Cœur,Corazón
CONS_HEART_DESC,Cura 2 HP.,Heals 2 HP.,Soigne 2 PV.,Cura 2 PV.
CONS_FRENZY,Furia,Frenzy,Frénésie,Frenesí
CONS_FRENZY_DESC,Cadenza di fuoco +50% per 6 s.,Fire rate +50% for 6 s.,Cadence de tir +50 % pendant 6 s.,Cadencia de disparo +50% durante 6 s.
HUD_BUFF,%s %ds,%s %ds,%s %d s,%s %d s
UPG_COUNTER_UP,Contatore,Counter,Compteur,Contador
UPG_COUNTER_UP_DESC,"+1 proiettile alle abilità (non allo sparo, non alla barriera)","+1 projectile to your abilities (not your shots, not the barrier)","+1 projectile aux capacités (pas aux tirs, pas à la barrière)","+1 proyectil a las habilidades (no a los disparos, no a la barrera)"
STAT_COUNT_BONUS,Contatore,Counter,Compteur,Contador
EVENT_PENTAGRAM_TITLE,PENTAGRAMMA DI SANGUE,BLOOD PENTAGRAM,PENTAGRAMME DE SANG,PENTAGRAMA DE SANGRE
EVENT_PENTAGRAM_SUBTITLE,Le candele si sono accese,The candles have been lit,Les bougies se sont allumées,Se han encendido las velas
EVENT_PENTAGRAM_HOLD,Resta nel cerchio finché le candele si spengono,Stay in the circle until the candles go out,Restez dans le cercle jusqu'à ce que les bougies s'éteignent,Quédate en el círculo hasta que se apaguen las velas
EVENT_PENTAGRAM_REWARD,Un boss in più ti aspetta,One more boss awaits you,Un boss de plus vous attend,Te espera un jefe más
EVENT_PENTAGRAM_FAILED_HINT,Il pentagramma si è dissolto,The pentagram has faded,Le pentagramme s'est dissipé,El pentagrama se ha desvanecido
BLACKSMITH_OWNED_COUNT,posseduti: %d,owned: %d,possédés : %d,en posesión: %d
SLOT_HEAD,Testa,Head,Tête,Cabeza
SLOT_GLOVES,Guanti,Gloves,Gants,Guantes
SLOT_ARMOR,Armatura,Armor,Armure,Armadura
SLOT_PANTS,Pantaloni,Pants,Pantalon,Pantalones
SLOT_BOOTS,Stivali,Boots,Bottes,Botas
SLOT_RING,Anello,Ring,Anneau,Anillo
LOADOUT_CLICK_HINT,Clic sinistro su un oggetto per indossarlo/toglierlo. Clic destro: segna/dissegna come spazzatura.,Left click an item to wear/unwear it. Right click: mark/unmark as trash.,Clic gauche sur un objet pour le porter/l'enlever. Clic droit : marquer/démarquer comme rebut.,Clic izquierdo en un objeto para ponértelo/quitártelo. Clic derecho: marcar/desmarcar como basura.
LOADOUT_ABILITY_LEVELS,Abilità dall'equip: %s,Abilities from gear: %s,Compétences de l'équipement : %s,Habilidades del equipo: %s
LOADOUT_ABILITY_NONE,Nessuna abilità dall'equip,No abilities from gear,Aucune compétence de l'équipement,Sin habilidades del equipo
EQ_WANDERER_HOOD,Cappuccio del viandante,Wanderer's hood,Capuche du vagabond,Capucha del errante
EQ_WANDERER_HOOD_DESC,"+7% raggio di raccolta, +10% exp","+7% pickup radius, +10% exp","+7 % de rayon de ramassage, +10 % d'exp","+7% de radio de recogida, +10% de exp"
EQ_SMITH_GLOVES,Guanti del fabbro,Smith's gloves,Gants du forgeron,Guantes del herrero
EQ_SMITH_GLOVES_DESC,"+4% cadenza di fuoco, +20% spinta","+4% fire rate, +20% knockback","+4 % de cadence de tir, +20 % de recul","+4% de cadencia de disparo, +20% de empuje"
EQ_BONE_ARMOR,Corazza d'osso,Bone armor,Armure d'os,Coraza de hueso
EQ_BONE_ARMOR_DESC,"+10% HP massimi, +0,1 s di invulnerabilità","+10% max HP, +0.1s invulnerability","+10 % de PV max, +0,1 s d'invulnérabilité","+10% de PV máx., +0,1 s de invulnerabilidad"
EQ_LEATHER_PANTS,Brache di cuoio,Leather breeches,Braies de cuir,Calzas de cuero
EQ_LEATHER_PANTS_DESC,"+5% velocità, +10% HP massimi","+5% speed, +10% max HP","+5 % de vitesse, +10 % de PV max","+5% de velocidad, +10% de PV máx."
EQ_GEL_RING,Anello di gelatina,Gel ring,Anneau de gelée,Anillo de gelatina
EQ_GEL_RING_DESC,+10% probabilità di drop,+10% drop chance,+10 % de chance de butin,+10% de probabilidad de botín
RARITY_COMMON,Comune,Common,Commun,Común
RARITY_UNCOMMON,Non comune,Uncommon,Peu commun,Poco común
RARITY_RARE,Raro,Rare,Rare,Raro
RARITY_SUPER_RARE,Super raro,Super rare,Super rare,Súper raro
RARITY_LEGENDARY,Leggendario,Legendary,Légendaire,Legendario
RARITY_MYTHIC,Mitico,Mythic,Mythique,Mítico
ITEM_ABILITY,★ Abilità: %s,★ Ability: %s,★ Capacité : %s,★ Habilidad: %s
RUNEND_ITEMS_EXTRACTED,Oggetti portati in salvo: %s,Items brought back: %s,Objets ramenés : %s,Objetos traídos de vuelta: %s
RUNEND_ITEMS_LOST,Oggetti persi: %s,Items lost: %s,Objets perdus : %s,Objetos perdidos: %s
BLACKSMITH_TAB_CRAFT,Crafting,Crafting,Fabrication,Fabricación
BLACKSMITH_TAB_FUSION,Fusione,Fusion,Fusion,Fusión
BLACKSMITH_TAB_SALVAGE,Smontaggio,Salvage,Démontage,Desguace
BLACKSMITH_TAB_ASCENSION,Ascensione,Ascension,Ascension,Ascensión
BLACKSMITH_FUSION_HINT,"Sei oggetti identici della stessa rarità diventano uno della rarità successiva, con bonus ritirati (fino a Leggendario). Solo oggetti nel baule.","Six identical items of the same rarity become one of the next rarity, with rerolled bonuses (up to Legendary). Stash items only.","Six objets identiques de même rareté deviennent un objet de la rareté suivante, bonus retirés (jusqu'à Légendaire). Objets du coffre uniquement.","Seis objetos idénticos de la misma rareza se convierten en uno de la rareza siguiente, con bonificaciones nuevas (hasta Legendario). Solo objetos del cofre."
BLACKSMITH_FUSION_EMPTY,Nessuna coppia da fondere.,No pairs to fuse.,Aucune paire à fusionner.,No hay parejas para fusionar.
BLACKSMITH_SALVAGE_HINT,"Work in progress: lo smontaggio darà materiali che si ottengono solo così, da usare in nuove ricette. Per ora non è disponibile.","Work in progress: salvaging will give materials you can only get this way, used in new recipes. Not available yet.","Work in progress : le démontage donnera des matériaux obtenus uniquement ainsi, pour de nouvelles recettes. Pas encore disponible.","Work in progress: el desguace dará materiales que solo se obtienen así, para nuevas recetas. Aún no disponible."
BLACKSMITH_SALVAGE_EMPTY,Nessun oggetto nel baule.,No items in the stash.,Aucun objet dans le coffre.,No hay objetos en el cofre.
BLACKSMITH_ASCENSION_HINT,"Alza il livello massimo sbloccato di un'abilità oltre Lv1: in run, i livelli oltre il cap sbloccato diventano risorse invece di salire di livello.","Raises an ability's unlocked level cap past Lv1: in a run, levels beyond the unlocked cap become resources instead of leveling up.","Augmente le niveau maximal débloqué d'une capacité au-delà du Niv1 : en run, les niveaux au-delà du cap débloqué deviennent des ressources au lieu de monter de niveau.","Sube el nivel máximo desbloqueado de una habilidad más allá de Nv1: en la run, los niveles por encima del cap desbloqueado se convierten en recursos en vez de subir de nivel."
ASCENSION_ROW,%s (Lv%d) — prossimo: %s,%s (Lv%d) — next: %s,%s (Niv%d) — suivant : %s,%s (Nv%d) — siguiente: %s
ASCENSION_ROW_MAXED,%s (Lv%d) — al massimo,%s (Lv%d) — maxed out,%s (Niv%d) — au maximum,%s (Nv%d) — al máximo
BLACKSMITH_SALVAGE_CONFIRM,Clic di nuovo per smontare: %s,Click again to salvage: %s,Cliquez à nouveau pour démonter : %s,Pulsa otra vez para desguazar: %s
OVERTIME_TITLE,OVERTIME x%d,OVERTIME x%d,PROLONGATION x%d,PRÓRROGA x%d
OVERTIME_WARNING,Overtime x%d tra %d s,Overtime x%d in %d s,Prolongation x%d dans %d s,Prórroga x%d en %d s
OVERTIME_WARNING_SUB,Estrai prima che l'arena diventi impossibile,Extract before the arena becomes impossible,Extrayez-vous avant que l'arène devienne impossible,Extrae antes de que la arena sea imposible
OVERTIME_SUB,Boss: %d ogni %s s · nemici in rage · velocità x%s · vita +%d%%,Bosses: %d every %s s · raged enemies · speed x%s · health +%d%%,Boss : %d toutes les %s s · ennemis enragés · vitesse x%s · vie +%d %%,Jefes: %d cada %s s · enemigos furiosos · velocidad x%s · vida +%d%%
EVENT_DASH_TITLE,Passo d'ombra,Shadow Step,Pas de l'ombre,Paso de sombra
EVENT_DASH_SUBTITLE,"Non puoi sparare: scatta per schivare (clic, Spazio o tasto destro)","You can't shoot: dash to dodge (click, Space or right button)","Impossible de tirer : faites un bond pour esquiver (clic, Espace ou bouton droit)","No puedes disparar: esquiva con el impulso (clic, Espacio o botón derecho)"
EVENT_CLOSET_TITLE,Scheletri nell'armadio,Skeletons in the Closet,Squelettes dans le placard,Esqueletos en el armario
EVENT_CLOSET_SUBTITLE,"Non farti toccare dagli scheletri per 10s: verso il centro, non ti inseguono","Don't let the skeletons touch you for 10s: they head to the center, not you","Ne laissez pas les squelettes vous toucher pendant 10s : ils vont vers le centre, pas vers vous","No dejes que los esqueletos te toquen durante 10s: van al centro, no a ti"
CLOSET_TITLE,Un armadio nascosto,A hidden closet,Un placard caché,Un armario escondido
CLOSET_SUBTITLE,"Scegli un pezzo mai trovato prima: ti serve per questa run, si perde se muori senza estrarlo","Pick a piece you've never found: it's yours for this run, lost if you die without extracting it","Choisissez une pièce jamais trouvée : elle est à vous pour cette run, perdue si vous mourez sans l'extraire","Elige una pieza nunca encontrada: es tuya para esta expedición, se pierde si mueres sin extraerla"
CLOSET_CHOICES_TITLE,Pezzi trovati,Pieces found,Pièces trouvées,Piezas encontradas
CLOSET_EMPTY,Hai gia' trovato tutto: niente da offrire stavolta.,You've already found everything: nothing to offer this time.,Vous avez déjà tout trouvé : rien à offrir cette fois.,Ya lo has encontrado todo: nada que ofrecer esta vez.
CLOSET_HINT,Clic su un pezzo per equipaggiarlo subito,Click a piece to equip it right away,Cliquez sur une pièce pour l'équiper aussitôt,Haz clic en una pieza para equipártela ya
RUNEND_VIEW_LOOT,Guarda il loot,View loot,Voir le butin,Ver botín
LOOT_VIEW_EXTRACTED,Estratto con successo,Extracted successfully,Extrait avec succès,Extraído con éxito
LOOT_VIEW_LOST,Perso: non sei riuscito a estrarre,Lost: you did not extract,Perdu : vous ne vous êtes pas extrait,Perdido: no has extraído
LOOT_VIEW_HINT,Passa col mouse su un'icona per i dettagli,Hover an icon for details,Survolez une icône pour les détails,Pasa el ratón por un icono para ver los detalles
SORT_LABEL,Ordina:,Sort:,Trier :,Ordenar:
SORT_ARRIVAL,Arrivo,Newest last,Arrivée,Llegada
SORT_RARITY,Rarità,Rarity,Rareté,Rareza
SORT_CATEGORY,Categoria,Category,Catégorie,Categoría
TOOLTIP_EQUIPPED,Equipaggiato,Equipped,Équipé,Equipado
ABILITY_LEVEL_UP,Lv%d → Lv%d,Lv%d → Lv%d,Nv%d → Nv%d,Nv%d → Nv%d
